Total Accelerators,Watts / CPU+GPU TDP,Dataset
8,0.8770244897959184,Inference
8,0.8995714285714285,Inference
8,0.9248489795918368,Inference
8,0.7703183673469388,Inference
8,0.8605836734693877,Inference
8,0.8834979591836736,Inference
8,0.8894081632653063,Inference
8,0.8111534246575343,Inference
8,0.8111534246575343,Inference
8,0.9724027397260274,Inference
8,0.9465616438356164,Inference
8,0.9755013698630136,Inference
8,0.9340027397260274,Inference
8,0.9107506849315068,Inference
8,0.9268876712328766,Inference
8,0.9107506849315068,Inference
8,0.9268876712328766,Inference
8,0.8914821917808219,Inference
8,0.947172602739726,Inference
8,0.8071780821917808,Inference
8,0.8033095890410958,Inference
8,0.8688794520547944,Inference
8,0.8665780821917809,Inference
4,0.6306794520547945,Inference
4,0.6306794520547945,Inference
4,0.6813150684931507,Inference
4,0.6982794520547945,Inference
4,0.6812657534246574,Inference
4,0.6922301369863013,Inference
4,0.6876657534246575,Inference
4,0.7258520547945205,Inference
4,0.6876657534246575,Inference
4,0.7258520547945205,Inference
4,0.6467506849315068,Inference
4,0.708931506849315,Inference
4,0.6187397260273972,Inference
4,0.6189315068493151,Inference
4,0.6823123287671233,Inference
4,0.6779561643835617,Inference
16,1.1178666666666668,Inference
16,1.0854424242424243,Inference
16,1.1683878787878788,Inference
16,1.162260606060606,Inference
16,1.037630303030303,Inference
16,1.0498727272727273,Inference
16,1.1400848484848485,Inference
16,1.1025272727272728,Inference
8,1.0205833333333334,Inference
8,0.9667261904761904,Inference
8,1.0271309523809524,Inference
8,1.000154761904762,Inference
8,0.9241666666666666,Inference
8,0.9109166666666666,Inference
8,1.0017142857142858,Inference
8,0.9094285714285714,Inference
4,0.6414861111111111,Inference
4,0.6545277777777778,Inference
1,1.2361632653061223,Inference
1,1.140204081632653,Inference
1,1.196,Inference
1,0.9073469387755102,Inference
1,1.1971428571428573,Inference
1,0.8975510204081633,Inference
1,1.1971428571428573,Inference
1,0.8975510204081633,Inference
1,1.2510204081632652,Inference
1,1.2471020408163267,Inference
1,1.1475510204081631,Inference
1,0.9397142857142856,Inference
8,0.941183844011142,Inference
8,0.941183844011142,Inference
8,0.952401114206128,Inference
8,0.9395933147632312,Inference
