Name,API Name,Instance Family,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,Memory Speed,Uses NUMA Architecture,NUMA Node Count,Max NUMA Distance,Cores per NUMA Node (Avg),Threads per NUMA Node (Avg),Memory per NUMA Node (Avg MB),L3 Cache per NUMA Node (Avg MB),L3 Cache Shared,Compute Units (ECU),vCPUs,GiB of Memory per vCPU,GPUs,GPU model,GPU memory,CUDA Compute Capability,FPGAs,ECU per vCPU,Physical Processor,Clock Speed(GHz),Intel AVX,Intel AVX2,Intel AVX-512,Intel Turbo,Instance Storage,Instance Storage: already warmed-up,Instance Storage: SSD TRIM Support,Arch,Network Performance,EBS Optimized: Baseline Bandwidth,EBS Optimized: Baseline Throughput (128K),EBS Optimized: Baseline IOPS (16K),EBS Optimized: Max Bandwidth,EBS Optimized: Max Throughput (128K),EBS Optimized: Max IOPS (16K),EBS Exposed as NVMe,Max IPs,Max ENIs,Enhanced Networking,Bare metal,Trunking compatible,Branch interface,VPC Only,IPv6 Support,Placement Group Support,Linux Virtualization,On EMR,Availability Zones,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Linux Spot Average cost,RHEL On Demand cost,RHEL Reserved cost,RHEL Spot Minimum cost,RHEL Spot Maximum cost,RHEL with HA On Demand cost,RHEL with HA Reserved cost,RHEL with HA Spot Minimum cost,RHEL with HA Spot Maximum cost,SLES On Demand cost,SLES Reserved cost,SLES Spot Minimum cost,SLES Spot Maximum cost,Windows On Demand cost,Windows Reserved cost,Windows Spot Minimum cost,Windows Spot Average cost,Dedicated Host On Demand,Dedicated Host Reserved,Windows SQL Web On Demand cost,Windows SQL Web Reserved cost,Windows SQL Std On Demand cost,Windows SQL Std Reserved cost,Windows SQL Ent On Demand cost,Windows SQL Ent Reserved cost,Linux SQL Web On Demand cost,Linux SQL Web Reserved cost,Linux SQL Std On Demand cost,Linux SQL Std Reserved cost,Linux SQL Ent On Demand cost,Linux SQL Ent Reserved cost,Linux Spot Interrupt Frequency,EMR cost,Generation,GPU Architectures,GPU Temp (Avg °C),FFmpeg Used CUDA,FFmpeg Speed,GPU Power Draw (Avg Watts),GPU Power Limit (Watts),GPU Graphics Clock (Avg MHz),GPU SM Clock (Avg MHz),GPU Memory Clock (Avg MHz),GPU Video Clock (Avg MHz)
C4 High-CPU Extra Large,c4.xlarge,c4,"67,358.967",Compute optimized,24.0 fps,7.5 GiB,,No,,,,,,,,16 units,4 vCPUs,1.88 GiB/vCPU,0,,0 GiB,0,0,4.0000 units,Intel Xeon E5-2666 v3 (Haswell),2.9 GHz,Yes,Yes,,Yes,EBS only,,,x86_64,High,750 Mbps,93.75 MB/s,6000 IOPS,750 Mbps,93.75 MB/s,6000 IOPS,No,60,4,Yes,No,No,0,Yes,Yes,Yes,Unknown,Yes,,$0.199 hourly,$0.126 hourly,$0.0516 hourly,$0.0594 hourly,$0.258 hourly,$0.184 hourly,$0.1106 hourly,$0.1378 hourly,$0.328 hourly,$0.254 hourly,,,$0.299 hourly,$0.159 hourly,$0.1516 hourly,$0.1788 hourly,$0.383 hourly,$0.31 hourly,$0.2055 hourly,$0.2061 hourly,$1.75 hourly,,$0.624 hourly,$0.381 hourly,$1.51 hourly,$1.27 hourly,$1.883 hourly,$1.81 hourly,$0.268 hourly,$0.194 hourly,$0.68 hourly,$0.606 hourly,$1.70 hourly,$1.626 hourly,10-15%,$0.052 hourly,current,,,No,0.80x,,,,,,
C5 High-CPU 12xlarge Extra Large,c5.12xlarge,c5,"789,311.408",Compute optimized,178.0 fps,96 GiB,2933 MT/s,No,,,,,,,,188 units,48 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,3.9167 units,Intel Xeon Platinum 8275L,3.4 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,12 Gigabit,9500 Mbps,1187.5 MB/s,40000 IOPS,9500 Mbps,1187.5 MB/s,40000 IOPS,Yes,240,8,Yes,No,Yes,54,Yes,Yes,Yes,Unknown,Yes,,$2.04 hourly,$1.285 hourly,$0.6318 hourly,$0.7916 hourly,$2.558 hourly,$1.804 hourly,$1.1498 hourly,$1.6319 hourly,$3.23 hourly,$2.476 hourly,,,$2.14 hourly,$1.318 hourly,$0.7318 hourly,$1.2139 hourly,$4.248 hourly,$3.493 hourly,$2.4287 hourly,$2.4288 hourly,$3.366 hourly,$2.121 hourly,$5.059 hourly,$4.304 hourly,$10.008 hourly,$9.253 hourly,$22.248 hourly,$21.493 hourly,$2.851 hourly,$2.096 hourly,$7.80 hourly,$7.045 hourly,$20.04 hourly,$19.285 hourly,5-10%,$0.27 hourly,current,,,No,5.94x,,,,,,
C5 High-CPU 18xlarge,c5.18xlarge,c5,"1,142,358.494",Compute optimized,183.0 fps,144 GiB,2933 MT/s,Yes,2,21,18,36,70962 MB,24.0 MB,Yes,281 units,72 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,3.9028 units,Intel Xeon Platinum 8124M,3.4 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,25 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750,15,Yes,No,Yes,107,Yes,Yes,Yes,Unknown,Yes,,$3.06 hourly,$1.928 hourly,$0.9087 hourly,$1.0414 hourly,$3.838 hourly,$2.705 hourly,$1.6867 hourly,$1.9068 hourly,$4.846 hourly,$3.713 hourly,,,$3.16 hourly,$1.961 hourly,$1.0087 hourly,$1.2288 hourly,$6.372 hourly,$5.24 hourly,$3.618 hourly,$3.6378 hourly,$3.366 hourly,$2.121 hourly,$7.589 hourly,$6.457 hourly,$15.012 hourly,$13.88 hourly,$33.372 hourly,$32.24 hourly,$4.277 hourly,$3.145 hourly,$11.70 hourly,$10.568 hourly,$30.06 hourly,$28.928 hourly,15-20%,$0.27 hourly,current,,,No,6.09x,,,,,,
C5 High-CPU 24xlarge,c5.24xlarge,c5,"1,626,773.989",Compute optimized,192.0 fps,192 GiB,2933 MT/s,Yes,2,21,24,48,94647 MB,35.0 MB,Yes,375 units,96 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,3.9063 units,Intel Xeon Platinum 8275L,3.4 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,25 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750,15,Yes,No,Yes,107,Yes,Yes,Yes,Unknown,Yes,,$4.08 hourly,$2.57 hourly,$1.1792 hourly,$1.2806 hourly,$5.117 hourly,$3.607 hourly,$2.2162 hourly,$2.4906 hourly,$6.461 hourly,$4.951 hourly,,,$4.18 hourly,$2.603 hourly,$1.2792 hourly,$1.5536 hourly,$8.496 hourly,$6.986 hourly,$4.8575 hourly,$4.858 hourly,$3.366 hourly,$2.121 hourly,$10.118 hourly,$8.609 hourly,$20.016 hourly,$18.506 hourly,$44.496 hourly,$42.986 hourly,$5.702 hourly,$4.193 hourly,$15.60 hourly,$14.09 hourly,$40.08 hourly,$38.57 hourly,>20%,$0.27 hourly,current,,,No,6.40x,,,,,,
C5 High-CPU Double Extra Large,c5.2xlarge,c5,"132,664.483",Compute optimized,45.0 fps,16 GiB,2933 MT/s,No,,,,,,,,39 units,8 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,4.8750 units,Intel Xeon Platinum 8124M,3.4 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,Up to 10 Gigabit,2300 Mbps,287.5 MB/s,10000 IOPS,4750 Mbps,593.75 MB/s,20000 IOPS,Yes,60,4,Yes,No,Yes,38,Yes,Yes,Yes,Unknown,Yes,,$0.34 hourly,$0.214 hourly,$0.1123 hourly,$0.1308 hourly,$0.455 hourly,$0.329 hourly,$0.2273 hourly,$0.2853 hourly,$0.595 hourly,$0.469 hourly,,,$0.44 hourly,$0.247 hourly,$0.2123 hourly,$0.2703 hourly,$0.708 hourly,$0.582 hourly,$0.4058 hourly,$0.4065 hourly,$3.366 hourly,$2.121 hourly,$0.843 hourly,$0.717 hourly,$1.668 hourly,$1.542 hourly,$3.708 hourly,$3.582 hourly,$0.475 hourly,$0.349 hourly,$1.30 hourly,$1.174 hourly,$3.34 hourly,$3.214 hourly,>20%,$0.085 hourly,current,,,No,1.50x,,,,,,
C5 High-CPU Quadruple Extra Large,c5.4xlarge,c5,"262,069.53",Compute optimized,87.0 fps,32 GiB,2933 MT/s,No,,,,,,,,73 units,16 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,4.5625 units,Intel Xeon Platinum 8124M,3.4 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,Up to 10 Gigabit,4750 Mbps,593.75 MB/s,20000 IOPS,4750 Mbps,593.75 MB/s,20000 IOPS,Yes,240,8,Yes,No,Yes,54,Yes,Yes,Yes,Unknown,Yes,,$0.68 hourly,$0.428 hourly,$0.1773 hourly,$0.2088 hourly,$0.853 hourly,$0.601 hourly,$0.3503 hourly,$0.4432 hourly,$1.077 hourly,$0.825 hourly,,,$0.78 hourly,$0.461 hourly,$0.2773 hourly,$0.3702 hourly,$1.416 hourly,$1.164 hourly,$0.8101 hourly,$0.8116 hourly,$3.366 hourly,$2.121 hourly,$1.686 hourly,$1.435 hourly,$3.336 hourly,$3.084 hourly,$7.416 hourly,$7.164 hourly,$0.95 hourly,$0.699 hourly,$2.60 hourly,$2.348 hourly,$6.68 hourly,$6.428 hourly,>20%,$0.17 hourly,current,,,No,2.88x,,,,,,
C5 High-CPU 9xlarge,c5.9xlarge,c5,"572,906.306",Compute optimized,165.0 fps,72 GiB,2666 MT/s,No,,,,,,,,139 units,36 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,3.8611 units,Intel Xeon Platinum 8124M,3.4 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,12 Gigabit,9500 Mbps,1187.5 MB/s,40000 IOPS,9500 Mbps,1187.5 MB/s,40000 IOPS,Yes,240,8,Yes,No,Yes,54,Yes,Yes,Yes,Unknown,Yes,,$1.53 hourly,$0.964 hourly,$0.5651 hourly,$0.6415 hourly,$1.919 hourly,$1.353 hourly,$0.9541 hourly,$1.1478 hourly,$2.423 hourly,$1.857 hourly,,,$1.63 hourly,$0.997 hourly,$0.6651 hourly,$0.8588 hourly,$3.186 hourly,$2.62 hourly,$1.8218 hourly,$1.8236 hourly,$3.366 hourly,$2.121 hourly,$3.794 hourly,$3.228 hourly,$7.506 hourly,$6.94 hourly,$16.686 hourly,$16.12 hourly,$2.138 hourly,$1.572 hourly,$5.85 hourly,$5.284 hourly,$15.03 hourly,$14.464 hourly,<5%,$0.27 hourly,current,,,No,5.50x,,,,,,
C5 High-CPU Large,c5.large,c5,"33,103.448",Compute optimized,,4 GiB,3200 MT/s,No,,,,,,,,10 units,2 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,5.0000 units,Intel Xeon Platinum 8124M,3.4 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,Up to 10 Gigabit,650 Mbps,81.25 MB/s,4000 IOPS,4750 Mbps,593.75 MB/s,20000 IOPS,Yes,30,3,Yes,No,Yes,9,Yes,Yes,Yes,Unknown,No,,$0.085 hourly,$0.054 hourly,$0.0294 hourly,$0.0335 hourly,$0.114 hourly,$0.082 hourly,$0.0584 hourly,$0.0698 hourly,$0.149 hourly,$0.117 hourly,,,$0.141 hourly,$0.087 hourly,$0.0854 hourly,$0.0968 hourly,$0.177 hourly,$0.146 hourly,$0.1013 hourly,$0.1016 hourly,$3.366 hourly,$2.121 hourly,$0.245 hourly,$0.213 hourly,$0.657 hourly,$0.626 hourly,,,$0.153 hourly,$0.121 hourly,$0.565 hourly,$0.534 hourly,,,10-15%,,current,,,,,,,,,,
C5 High-CPU Metal,c5.metal,c5,"1,609,657.948",Compute optimized,192.0 fps,192 GiB,3200 MT/s,Yes,2,21,24,48,96516 MB,35.0 MB,Yes,375 units,96 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,3.9063 units,Intel Xeon Platinum 8275L,3.4 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,25 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,107,Yes,Yes,Yes,Unknown,No,,$4.08 hourly,$2.57 hourly,$0.8184 hourly,$1.1374 hourly,$5.117 hourly,$3.607 hourly,$1.8554 hourly,$2.3155 hourly,$6.461 hourly,$4.951 hourly,,,$4.18 hourly,$2.603 hourly,$0.9184 hourly,$1.3785 hourly,$8.496 hourly,$6.986 hourly,$4.8563 hourly,$4.8602 hourly,$3.366 hourly,$2.121 hourly,$10.118 hourly,$8.609 hourly,$20.016 hourly,$18.506 hourly,$44.496 hourly,$42.986 hourly,$5.702 hourly,$4.193 hourly,$15.60 hourly,$14.09 hourly,$40.08 hourly,$38.57 hourly,<5%,,current,,,No,6.40x,,,,,,
C5 High-CPU Extra Large,c5.xlarge,c5,"72,684.323",Compute optimized,27.0 fps,8 GiB,2933 MT/s,No,,,,,,,,20 units,4 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,5.0000 units,Intel Xeon Platinum 8124M,3.4 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,Up to 10 Gigabit,1150 Mbps,143.75 MB/s,6000 IOPS,4750 Mbps,593.75 MB/s,20000 IOPS,Yes,60,4,Yes,No,Yes,18,Yes,Yes,Yes,Unknown,Yes,,$0.17 hourly,$0.107 hourly,$0.0629 hourly,$0.0698 hourly,$0.228 hourly,$0.165 hourly,$0.1209 hourly,$0.1457 hourly,$0.298 hourly,$0.235 hourly,,,$0.226 hourly,$0.14 hourly,$0.1189 hourly,$0.1437 hourly,$0.354 hourly,$0.291 hourly,$0.2026 hourly,$0.2041 hourly,$3.366 hourly,$2.121 hourly,$0.422 hourly,$0.359 hourly,$0.834 hourly,$0.771 hourly,$1.854 hourly,$1.791 hourly,$0.238 hourly,$0.175 hourly,$0.65 hourly,$0.587 hourly,$1.67 hourly,$1.607 hourly,10-15%,$0.043 hourly,current,,,No,0.91x,,,,,,
C5A 12xlarge Extra Large,c5a.12xlarge,c5a,"891,199.406",Compute optimized,176.0 fps,96 GiB,2933 MT/s,No,,,,,,,,0 units,48 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7R32,3.3 GHz,,,,,EBS only,,,x86_64,12 Gigabit,4750 Mbps,593.75 MB/s,20000 IOPS,4750 Mbps,593.75 MB/s,20000 IOPS,Yes,240,8,Yes,No,Yes,54,Yes,Yes,Yes,Unknown,Yes,,$1.848 hourly,$1.164 hourly,$0.5696 hourly,$0.6842 hourly,$2.366 hourly,$1.683 hourly,$1.0876 hourly,$1.2886 hourly,$3.038 hourly,$2.355 hourly,,,$1.973 hourly,$1.224 hourly,$0.6946 hourly,$0.8956 hourly,$4.056 hourly,$3.372 hourly,$2.3928 hourly,$2.4057 hourly,$3.366 hourly,$2.121 hourly,$4.867 hourly,$4.183 hourly,$9.816 hourly,$9.132 hourly,$22.056 hourly,$21.372 hourly,$2.659 hourly,$1.975 hourly,$7.608 hourly,$6.924 hourly,$19.848 hourly,$19.164 hourly,15-20%,$0.27 hourly,current,,,No,5.87x,,,,,,
C5A 16xlarge Extra Large,c5a.16xlarge,c5a,"1,197,828.935",Compute optimized,184.0 fps,128 GiB,2933 MT/s,No,,,,,,,,0 units,64 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7R32,3.3 GHz,,,,,EBS only,,,x86_64,20 Gigabit,6300 Mbps,787.5 MB/s,26700 IOPS,6300 Mbps,787.5 MB/s,26700 IOPS,Yes,750,15,Yes,No,Yes,107,Yes,Yes,Yes,Unknown,Yes,,$2.464 hourly,$1.552 hourly,$0.9801 hourly,$1.078 hourly,$3.155 hourly,$2.244 hourly,$1.6711 hourly,$1.9065 hourly,$4.051 hourly,$3.14 hourly,,,$2.589 hourly,$1.612 hourly,$1.1051 hourly,$1.3405 hourly,$5.408 hourly,$4.496 hourly,$3.1904 hourly,$3.198 hourly,$3.366 hourly,$2.121 hourly,$6.49 hourly,$5.578 hourly,$13.088 hourly,$12.176 hourly,$29.408 hourly,$28.496 hourly,$3.546 hourly,$2.634 hourly,$10.144 hourly,$9.232 hourly,$26.464 hourly,$25.552 hourly,>20%,$0.27 hourly,current,,,No,6.14x,,,,,,
C5A 24xlarge,c5a.24xlarge,c5a,"1,782,067.941",Compute optimized,209.0 fps,192 GiB,2933 MT/s,No,,,,,,,,0 units,96 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7R32,3.3 GHz,,,,,EBS only,,,x86_64,20 Gigabit,9500 Mbps,1187.5 MB/s,40000 IOPS,9500 Mbps,1187.5 MB/s,40000 IOPS,Yes,750,15,Yes,No,Yes,107,Yes,Yes,Yes,Unknown,Yes,,$3.696 hourly,$2.328 hourly,$1.209 hourly,$1.4909 hourly,$4.733 hourly,$3.365 hourly,$2.246 hourly,$2.8333 hourly,$6.077 hourly,$4.709 hourly,,,$3.821 hourly,$2.388 hourly,$1.334 hourly,$1.9213 hourly,$8.112 hourly,$6.744 hourly,$4.7856 hourly,$4.7978 hourly,$3.366 hourly,$2.121 hourly,$9.734 hourly,$8.367 hourly,$19.632 hourly,$18.264 hourly,$44.112 hourly,$42.744 hourly,$5.318 hourly,$3.951 hourly,$15.216 hourly,$13.848 hourly,$39.696 hourly,$38.328 hourly,>20%,$0.27 hourly,current,,,No,6.95x,,,,,,
C5A Double Extra Large,c5a.2xlarge,c5a,"145,348.837",Compute optimized,54.0 fps,16 GiB,2933 MT/s,No,,,,,,,,0 units,8 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7R32,3.3 GHz,,,,,EBS only,,,x86_64,Up to 10 Gigabit,800 Mbps,100 MB/s,3200 IOPS,3170 Mbps,396.25 MB/s,13300 IOPS,Yes,60,4,Yes,No,Yes,38,Yes,Yes,Yes,Unknown,Yes,,$0.308 hourly,$0.194 hourly,$0.1565 hourly,$0.1727 hourly,$0.423 hourly,$0.309 hourly,$0.2715 hourly,$0.3166 hourly,$0.563 hourly,$0.449 hourly,,,$0.433 hourly,$0.254 hourly,$0.2815 hourly,$0.3266 hourly,$0.676 hourly,$0.562 hourly,$0.4023 hourly,$0.405 hourly,$3.366 hourly,$2.121 hourly,$0.811 hourly,$0.697 hourly,$1.636 hourly,$1.522 hourly,$3.676 hourly,$3.562 hourly,$0.443 hourly,$0.329 hourly,$1.268 hourly,$1.154 hourly,$3.308 hourly,$3.194 hourly,<5%,$0.077 hourly,current,,,No,1.81x,,,,,,
C5A Quadruple Extra Large,c5a.4xlarge,c5a,"290,552.504",Compute optimized,101.0 fps,32 GiB,2933 MT/s,No,,,,,,,,0 units,16 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7R32,3.3 GHz,,,,,EBS only,,,x86_64,Up to 10 Gigabit,1580 Mbps,197.5 MB/s,6600 IOPS,3170 Mbps,396.25 MB/s,13300 IOPS,Yes,240,8,Yes,No,Yes,54,Yes,Yes,Yes,Unknown,Yes,,$0.616 hourly,$0.388 hourly,$0.2607 hourly,$0.2685 hourly,$0.789 hourly,$0.561 hourly,$0.4337 hourly,$0.4477 hourly,$1.013 hourly,$0.785 hourly,,,$0.741 hourly,$0.448 hourly,$0.3857 hourly,$0.3997 hourly,$1.352 hourly,$1.124 hourly,$0.8086 hourly,$0.8139 hourly,$3.366 hourly,$2.121 hourly,$1.622 hourly,$1.394 hourly,$3.272 hourly,$3.044 hourly,$7.352 hourly,$7.124 hourly,$0.886 hourly,$0.658 hourly,$2.536 hourly,$2.308 hourly,$6.616 hourly,$6.388 hourly,>20%,$0.154 hourly,current,,,No,3.38x,,,,,,
C5A Eight Extra Large,c5a.8xlarge,c5a,"587,155.963",Compute optimized,161.0 fps,64 GiB,2933 MT/s,No,,,,,,,,0 units,32 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7R32,3.3 GHz,,,,,EBS only,,,x86_64,10 Gigabit,3170 Mbps,396.25 MB/s,13300 IOPS,3170 Mbps,396.25 MB/s,13300 IOPS,Yes,240,8,Yes,No,Yes,54,Yes,Yes,Yes,Unknown,Yes,,$1.232 hourly,$0.776 hourly,$0.4321 hourly,$0.468 hourly,$1.578 hourly,$1.122 hourly,$0.7781 hourly,$0.8627 hourly,$2.026 hourly,$1.57 hourly,,,$1.357 hourly,$0.836 hourly,$0.5571 hourly,$0.6417 hourly,$2.704 hourly,$2.248 hourly,$1.5997 hourly,$1.6043 hourly,$3.366 hourly,$2.121 hourly,$3.245 hourly,$2.789 hourly,$6.544 hourly,$6.088 hourly,$14.704 hourly,$14.248 hourly,$1.773 hourly,$1.317 hourly,$5.072 hourly,$4.616 hourly,$13.232 hourly,$12.776 hourly,>20%,$0.27 hourly,current,,,No,5.35x,,,,,,
C5A Large,c5a.large,c5a,"37,030.18",Compute optimized,,4 GiB,2933 MT/s,No,,,,,,,,0 units,2 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7R32,3.3 GHz,,,,,EBS only,,,x86_64,Up to 10 Gigabit,200 Mbps,25 MB/s,800 IOPS,3170 Mbps,396.25 MB/s,13300 IOPS,Yes,30,3,Yes,No,Yes,9,Yes,Yes,Yes,Unknown,No,,$0.077 hourly,$0.049 hourly,$0.0243 hourly,$0.0269 hourly,$0.106 hourly,$0.077 hourly,$0.0533 hourly,$0.0595 hourly,$0.141 hourly,$0.112 hourly,,,$0.133 hourly,$0.074 hourly,$0.0803 hourly,$0.0865 hourly,$0.169 hourly,$0.141 hourly,$0.1007 hourly,$0.1009 hourly,$3.366 hourly,$2.121 hourly,$0.237 hourly,$0.208 hourly,$0.649 hourly,$0.621 hourly,,,$0.145 hourly,$0.116 hourly,$0.557 hourly,$0.529 hourly,,,10-15%,,current,,,,,,,,,,
C5A Extra Large,c5a.xlarge,c5a,"68,555.759",Compute optimized,28.0 fps,8 GiB,2933 MT/s,No,,,,,,,,0 units,4 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7R32,3.3 GHz,,,,,EBS only,,,x86_64,Up to 10 Gigabit,400 Mbps,50 MB/s,1600 IOPS,3170 Mbps,396.25 MB/s,13300 IOPS,Yes,60,4,Yes,No,Yes,18,Yes,Yes,Yes,Unknown,Yes,,$0.154 hourly,$0.097 hourly,$0.0547 hourly,$0.0669 hourly,$0.212 hourly,$0.155 hourly,$0.1127 hourly,$0.1313 hourly,$0.282 hourly,$0.225 hourly,,,$0.21 hourly,$0.147 hourly,$0.1107 hourly,$0.1293 hourly,$0.338 hourly,$0.281 hourly,$0.2013 hourly,$0.2017 hourly,$3.366 hourly,$2.121 hourly,$0.406 hourly,$0.349 hourly,$0.818 hourly,$0.761 hourly,$1.838 hourly,$1.781 hourly,$0.222 hourly,$0.165 hourly,$0.634 hourly,$0.577 hourly,$1.654 hourly,$1.597 hourly,<5%,$0.0385 hourly,current,,,No,0.93x,,,,,,
C5AD 12xlarge Extra Large,c5ad.12xlarge,c5ad,,Compute optimized,,96 GiB,,,,,,,,,,0 units,48 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7R32,3.3 GHz,,,,,1800 GB (2×900 GB NVMe SSD),Yes,Yes,x86_64,12 Gigabit,4750 Mbps,593.75 MB/s,20000 IOPS,4750 Mbps,593.75 MB/s,20000 IOPS,Yes,240,8,Yes,No,Yes,54,Yes,Yes,Yes,Unknown,Yes,,$2.064 hourly,$1.30 hourly,$0.6413 hourly,$0.733 hourly,$2.582 hourly,$1.819 hourly,$1.1593 hourly,$1.3832 hourly,$3.254 hourly,$2.491 hourly,,,$2.189 hourly,$1.36 hourly,$0.7663 hourly,$0.9902 hourly,$4.272 hourly,$3.508 hourly,$2.4144 hourly,$2.4283 hourly,$3.366 hourly,$2.121 hourly,$5.083 hourly,$4.32 hourly,$10.032 hourly,$9.268 hourly,$22.272 hourly,$21.508 hourly,$2.875 hourly,$2.112 hourly,$7.824 hourly,$7.06 hourly,$20.064 hourly,$19.30 hourly,>20%,$0.27 hourly,current,,,,,,,,,,
C5AD 16xlarge Extra Large,c5ad.16xlarge,c5ad,,Compute optimized,,128 GiB,,,,,,,,,,0 units,64 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7R32,3.3 GHz,,,,,2400 GB (2×1200 GB NVMe SSD),Yes,Yes,x86_64,20 Gigabit,6300 Mbps,787.5 MB/s,26700 IOPS,6300 Mbps,787.5 MB/s,26700 IOPS,Yes,750,15,Yes,No,Yes,107,Yes,Yes,Yes,Unknown,Yes,,$2.752 hourly,$1.734 hourly,$0.9234 hourly,$1.0233 hourly,$3.443 hourly,$2.425 hourly,$1.6144 hourly,$1.8047 hourly,$4.339 hourly,$3.321 hourly,,,$2.877 hourly,$1.794 hourly,$1.0484 hourly,$1.2387 hourly,$5.696 hourly,$4.678 hourly,$3.2192 hourly,$3.2282 hourly,$3.366 hourly,$2.121 hourly,$6.778 hourly,$5.759 hourly,$13.376 hourly,$12.358 hourly,$29.696 hourly,$28.678 hourly,$3.834 hourly,$2.815 hourly,$10.432 hourly,$9.414 hourly,$26.752 hourly,$25.734 hourly,>20%,$0.27 hourly,current,,,,,,,,,,
C5AD 24xlarge,c5ad.24xlarge,c5ad,,Compute optimized,,192 GiB,,,,,,,,,,0 units,96 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7R32,3.3 GHz,,,,,3800 GB (2×1900 GB NVMe SSD),Yes,Yes,x86_64,20 Gigabit,9500 Mbps,1187.5 MB/s,40000 IOPS,9500 Mbps,1187.5 MB/s,40000 IOPS,Yes,750,15,Yes,No,Yes,107,Yes,Yes,Yes,Unknown,Yes,,$4.128 hourly,$2.601 hourly,$1.3385 hourly,$1.516 hourly,$5.165 hourly,$3.637 hourly,$2.3755 hourly,$2.8481 hourly,$6.509 hourly,$4.981 hourly,,,$4.253 hourly,$2.661 hourly,$1.4635 hourly,$1.9361 hourly,$8.544 hourly,$7.017 hourly,$4.8288 hourly,$4.8561 hourly,$3.366 hourly,$2.121 hourly,$10.166 hourly,$8.639 hourly,$20.064 hourly,$18.537 hourly,$44.544 hourly,$43.017 hourly,$5.75 hourly,$4.223 hourly,$15.648 hourly,$14.121 hourly,$40.128 hourly,$38.601 hourly,>20%,$0.27 hourly,current,,,,,,,,,,
C5AD Double Extra Large,c5ad.2xlarge,c5ad,,Compute optimized,,16 GiB,,,,,,,,,,0 units,8 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7R32,3.3 GHz,,,,,300 GB NVMe SSD,Yes,Yes,x86_64,Up to 10 Gigabit,800 Mbps,100 MB/s,3200 IOPS,3170 Mbps,396.25 MB/s,13300 IOPS,Yes,60,4,Yes,No,Yes,38,Yes,Yes,Yes,Unknown,Yes,,$0.344 hourly,$0.217 hourly,$0.148 hourly,$0.179 hourly,$0.459 hourly,$0.332 hourly,$0.263 hourly,$0.3151 hourly,$0.599 hourly,$0.472 hourly,,,$0.469 hourly,$0.277 hourly,$0.273 hourly,$0.3251 hourly,$0.712 hourly,$0.585 hourly,$0.4052 hourly,$0.4053 hourly,$3.366 hourly,$2.121 hourly,$0.847 hourly,$0.72 hourly,$1.672 hourly,$1.545 hourly,$3.712 hourly,$3.585 hourly,$0.479 hourly,$0.352 hourly,$1.304 hourly,$1.177 hourly,$3.344 hourly,$3.217 hourly,10-15%,$0.086 hourly,current,,,,,,,,,,
